item_id,item_name,description,skill_effect,rarity,category
1,烈焰之剑,传说中的古代神兵，据说由龙焰锻造而成，能斩断一切邪恶。,攻击力提升30%，对暗属性敌人造成额外150%伤害,传说,武器
2,冰霜法杖,由永冻冰山之巅的冰晶打磨而成，蕴含无尽寒意。,释放冰霜箭，减速敌人移动速度50%，持续5秒,稀有,武器
3,雷神之锤,上古战神遗留之物，每次挥动都伴随雷霆轰鸣。,造成范围雷电伤害，有30%概率使敌人麻痹,传说,武器
4,影月弓,以月光精华铸造的神弓，箭矢在夜间速度加倍。,射出影月箭，可穿透3个目标，夜间伤害翻倍,史诗,武器
5,圣光护盾,圣骑士团的传承圣器，能抵御任何黑暗侵蚀。,承受攻击时有20%概率反弹伤害，并为队友提供护盾,稀有,防具
6,暗影披风,由千年蜘蛛丝织成，穿戴后如融入黑暗之中。,隐身持续时间延长至15秒，移动不破除隐身效果,史诗,防具
7,龙鳞胸甲,取自上古神龙的鳞片打造，坚不可摧。,物理防御提升40%，对火属性伤害免疫25%,传说,防具
8,生命宝石,凝聚了大地之母的祝福，散发着温暖绿光。,每5秒恢复生命值1%，战斗状态下效果减半,普通,道具
9,魔力水晶,汇聚星辰之力的魔法结晶，魔法师的最爱。,法力值恢复速度提升20%，使用技能消耗降低10%,稀有,道具
10,复活羽毛,不死鸟的羽毛，拥有令死者复生的神奇力量。,阵亡时自动复活，恢复50%生命值，冷却时间24小时,传说,道具
11,速度之靴,由风之精灵赐予，穿上后如驾轻风。,移动速度提升25%，冲刺距离增加50%,稀有,防具
12,智慧头冠,古代哲人遗留，佩戴者能洞悉一切奥秘。,智力提升20点，技能冷却时间减少15%,史诗,防具
13,狂战手套,蛮族勇士的传家宝，拳拳到肉，力道惊人。,徒手攻击伤害提升50%，暴击率增加10%,稀有,防具
14,治愈药水,由百种草药熬制而成，一口下去伤痛尽消。,立即恢复500点生命值，解除中毒和流血状态,普通,消耗品
15,爆炸炸弹,炼金术师的杰作，危险之物请小心使用。,对5米范围内所有敌人造成300点火焰伤害,稀有,消耗品
16,精准戒指,精准无误的象征，射手都梦寐以求的宝物。,命中率提升15%，远程攻击暴击伤害增加30%,普通,饰品
17,守护项链,守护神的赐福，能感知身边的危险。,受到致命伤害时有10%概率完全免疫，冷却60秒,史诗,饰品
18,召唤卷轴,记载着古老召唤术的神秘卷轴。,召唤一只等级与玩家相同的精灵战斗，持续30秒,稀有,消耗品
19,经验宝珠,蕴含大量战斗经验的能量球体。,立即获得当前等级所需经验值的10%,普通,道具
